English,Transliteration,Hebrew
if (wishing),lu,לו
to place / to put,lasim,לשים
knead (m.pl.),lashim,לשים
the room,hakheder,החדר
insert / penetrate (m.s. imperative),hakhder,החדר
flowers,prakhim,פרחים
know (m.pl.),yod'im,יודעים
aspired / inhaled (m.s.),sha'af,שאף
half-,lemekhetsa,למחצה
sometimes,lif'amim,לפעמים
became clear,hitbarer,התברר
to take out / to spend / to publish / excluding,lehotsi,להוציא
to hold,lehakhzik,להחזיק
possible (m.s. adj.),efshari,אפשרי
at a camp / in a group,bemakhane,במחנה
at the camp / in the group,bamakhane,במחנה
in the cell / in the chamber,bata,בתא
in a cell / in a chamber,beta,בתא
ok / well,beseder,בסדר
built (m.s.),bana,בנה
the next day,lemokhorat,למחרת
to a state / to a situation,lematsav,למצב
to the state / to the situation,lamatsav,למצב
to the end,lasof,לסוף
long (m.pl.),arukim,ארוכים
-like / -form (m.s.),dmui,דמוי
player / actor,sakhkan,שחקן
publication / advertisement / fame,pirsum,פרסום
to/for a line,lekav,לקו
to/for the line,lakav,לקו
the brain,hamoakh,המוח
the former / the previous (m.s.),hakodem,הקודם
met (m.s.),nifgash,נפגש
that are/were intended for / that are/were destined for / that conferred (pl.),sheno'adu,שנועדו
the method,hashita,השיטה
the reproductiveness,hareviya,הרבייה
joined (pl.),hitstarfu,הצטרפו
especially,beyikhud,בייחוד
fort,mivtsar,מבצר
and was (f.s.),vehaita,והייתה
led / transported (f.s.),hovila,הובילה
as a god / as to,ke'el,כאל
as the god,ka'el,כאל
party of (political),mifleget,מפלגת
were passed / were transferred,hu'avru,הועברו
on the condition / provided that,bitnai,בתנאי
under the conditions of / under the provisions of,bitna'ei,בתנאי
global / universal (f.s.),olamit,עולמית
took (m.s.),natal,נטל
the underground,hamakhteret,המחתרת
separated / individual (m.s.),nifrad,נפרד
that/who created / that/who made (m.s.),sheyatsar,שיצר
the godfather,hasandak,הסנדק
the pyramids,hapiramidot,הפירמידות
the spear,haromakh,הרומח
reproductiveness,reviya,רבייה
my opinion,da'ati,דעתי
the evening / tonight / this evening,ha'erev,הערב
the surety / the pleasant / the delicious,ha'arev,הערב
will / desire,ratson,רצון
to sing,lashir,לשיר
the words of / the things of,divrei,דברי
my words / my things,dvarai,דברי
around,misaviv,מסביב
to whom,lemi,למי
counted / included (m.s.) / portion,mana,מנה
white (f.s.),levana,לבנה
brick,levena,לבנה
in the hours,basha'ot,בשעות
in hours,besha'ot,בשעות
in the hours of,bish'ot,בשעות
bought,kana,קנה
barrel / shaft / trachea,kane,קנה
like this (f.),kazo,כזו
the former / the previous (f.s.),hakodemet,הקודמת
hung / depending on (f.s.),tluya,תלויה
fell (pl.),naflu,נפלו
hotel,malon,מלון
melon,melon,מלון
theirs (f),shelahen,שלהן
milk (n.) / milked (m.s.),khalav,חלב
tallow,khelev,חלב
give (m.s. imperative),ha'anek,הענק
the vote / the voting,hahatsba'a,ההצבעה
trunk / race / stem,geza,גזע
in fire,be'esh,באש
in the fire,ba'esh,באש
to attack,litkof,לתקוף
to deal with / to engage in / to work in,la'asok,לעסוק
apparently / allegedly,likh'ora,לכאורה
and in her / and in it,uva,ובה
that/who acted / that/who operated (pl.),shepa'alu,שפעלו
that/who were left (pl.),shenotru,שנותרו
twice,pa'amayim,פעמיים
the pass / the transfer / the transition,hama'avar,המעבר
the grave,hakever,הקבר
the pair / the couple,hazug,הזוג
the author / who counts,hasofer,הסופר
grain,dagan,דגן
especially / particularly,bifrat,בפרט
in the building of,bivniyat,בבניית
color,tseva,צבע
attack,hatkafa,התקפה
temple / shrine,mikdash,מקדש
language of / lip of / edge of,sfat,שפת
the faith / the belief,ha'emuna,האמונה
the education,hakhinukh,החינוך
works,avodot,עבודות
common (f.s.),nefotsa,נפוצה
illnesses / diseases,makhalot,מחלות
social (f.s.),khevratit,חברתית
field / area / range,tkhum,תחום
in a building / in a construction,bemivne,במבנה
in the building / in the construction,bamivne,במבנה
in a group,bikvutsa,בקבוצה
in chapter / in a chapter / in a period,beperek,בפרק
in the chapter,baperek,בפרק
,,בפרק
corals,almogim,אלמוגים
god,elohim,אלוהים
with him,ito,איתו
immediately / shortly,tekhef,תכף
crusting of,hakramat,הקרמת
caterpillar / army vehicle,zakhal,זחל
old (m.s.),zaken,זקן
nest,ken,קן
end / termination / ruin,kets,קץ
was fed up with,kats,קץ
and what,uma,ומה
and after,ve'akharei,ואחרי
the health,habri'ut,הבריאות
do (m.pl.),osim,עושים
heard (m.s.),shama,שמע
his place,mekomo,מקומו
to treat,letapel,לטפל
my way / through me,darki,דרכי
bright / fair,bahir,בהיר
organizational,irguni,ארגוני
opens / opened (m.s.),niftakh,נפתח
start (m.s.),matkhil,מתחיל
concept / obtained / achieved (m.s.),musag,מושג
receives / accepts (m.s.),mekabel,מקבל
cases / events / incidents,mikrim,מקרים
the times,hzmanim,הזמנים
district,makhoz,מחוז
to avoid,lehimana,להימנע
and starting,vehakhel,והחל
and started (m.s.),vehekhel,והחל
the numbers,hamisparim,המספרים
the narrators / the story tellers,hamesaprim,המספרים
at the end / upon completion,betom,בתום
special (m.pl.),meyukhadim,מיוחדים
subsequently,leyamim,לימים
the famous (m.s.),hamefursam,המפורסם
behavior,hitnahagut,התנהגות
the foreign / the strangers (m.pl.),hazarim,הזרים
the factor / the cause,hagorem,הגורם
size,godel,גודל
around / in the area of,bisvivot,בסביבות
siege,matsor,מצור
parties (political),miflagot,מפלגות
worked (m.s.),avad,עבד
his people,anashav,אנשיו
in an article / in a dish / in a vessel / with a tool,bikhli,בכלי
in the vessels of / with/in the tools of,bikhlei,בכלי
that/who is called (m.s.),hakarui,הקרוי
the social (m.s.),hakhevrati,החברתי
uses / user (m.s.),mishtamesh,משתמש
stations,takhanot,תחנות
his activity,pe'iluto,פעילותו
ghetto,geto,גטו
to/for water,lemayim,למים
to/for the water,lamayim,למים
to vote / to raised a hand / to point at / to indicate,lehatsbi'a,להצביע
the hole / the pit,habor,הבור
the ignorant / the fallow,habur,הבור
sites,atarim,אתרים
the monument,ha'andarta,האנדרטה
and so on / etc.,vekhadome,וכדומה
in a research / in a study,bemekhkar,במחקר
in the research / in the study,bamekhkar,במחקר
the cat,hakhatul,החתול
urine,sheten,שתן
the boxing,ha'igruf,האיגרוף
biology,biologia,ביולוגיה
the tropical (m.s.),hatropi,הטרופי
the advantages / the virtues / the stairs,hama'alot,המעלות
by myself / personally,be'atsmi,בעצמי
shouted / yelled (f.s.),tsa'aka,צעקה
shout / yell,tse'aka,צעקה
where,eifo,איפה
I saw,ra'iti,ראיתי
yesterday,etmol,אתמול
my leg / by foot,ragli,רגלי
my legs,raglai,רגלי
case / event / incident / fortune / chance,mikre,מקרה
asking / asks / requesting / requests (m.s.),mevakesh,מבקש
is it possible,ha'efshar,האפשר
stands / is about to / endures / succeeds / insists on (f.s.),omedet,עומדת
drove / traveled (m.s.),nasa,נסע
little / few (m.pl.),me'atim,מעטים
the guard / that/who guards / that/who protects (m.s.),hashomer,השומר
caused (pl.),garmu,גרמו
that/who received / that/who accepted (m.s.),shekibel,שקיבל
forbidden / imprisoned (m.s.),asur,אסור
the information,hameida,המידע
the public / the crowd / the audience,hakahal,הקהל
[in] a branch / in a field,be'anaf,בענף
[in] the branch / in the field,ba'anaf,בענף
wars,milkhamot,מלחמות
warrior (m.s.),lokhem,לוחם
its/his value,erko,ערכו
edited / arranged / held (pl.),arkhu,ערכו
regional,azori,אזורי
the tongue / the language,halashon,הלשון
the arch / the bow / the rainbow,hakeshet,הקשת
the claim / the argument,hata'ana,הטענה
the order,haseder,הסדר
in the field,basade,בשדה
in a field,besade,בשדה
problem,be'aya,בעיה
rock,sela,סלע
the fort,hamivtsar,המבצר
thought / assumed (m.s.),savar,סבר
officer,katsin,קצין
was / constituted (m.),hiva,היווה
elections / selections,bkhirot,בחירות
was formed / was created (f.s.),notsra,נוצרה
distance,merkhak,מרחק
dismantling / decomposing / liquidating / unloading,peruk,פירוק
reality,hametsi'ut,המציאות
Muslims,muslemim,מוסלמים
weight / scale,mishkal,משקל
the buildings / the constructions,hamivnim,המבנים
the workers,ha'ovdim,העובדים
financed,mimen,מימן
hydrogen,meiman,מימן
course / path / track,maslul,מסלול
developed,piteakh,פיתח
the competition,hatakharut,התחרות
in the presence,benokhekhut,בנוכחות
processes,tahalikhim,תהליכים
proteins,khelbonim,חלבונים
I sat (pl.),yashavti,ישבתי
the aphid,haknima,הכנימה
the cattle / the controller,habakar,הבקר
the morning / this morning,haboker,הבקר
the cowboy,haboker,הבקר
to sit,lashevet,לשבת
need (m.pl.),tsrikhim,צריכים
dead (m.pl.),metim,מתים
letter,mikhtav,מכתב
good (m.pl.),tovim,טובים
suitable / appropriate / applicable / identical (m.s.),mat'im,מתאים
whistled (m.s.),sharak,שרק
I wish,sherak,שרק
his head,rosho,ראשו
start (f.s.),matkhila,מתחילה
the old (m.s.),hayashan,הישן
the sleeping (m.s.),hayashen,הישן
the players of / the actors of,sakhkanei,שחקני
helped / assisted (m.s.),azar,עזר
aid / auxiliary,ezer,עזר
pocket,kis,כיס
the foundation,hayesod,היסוד
gave / delivered (m.s.),masar,מסר
message,meser,מסר
to work / to worship,la'avod,לעבוד
to stop / to arrest,la'atsor,לעצור
and the thing / and the object / and the matter / and the item,vehadavar,והדבר
and the plague,vehadever,והדבר
remnants of / survivors of,sridei,שרידי
the Torah / the theory,hatora,התורה
that is found / that is [at] (m.s.),hanimtsa,הנמצא
in a yard,bekhatser,בחצר
in the yard,bakhatser,בחצר
to produce,leyatser,לייצר
to return [something],lehakhzir,להחזיר
communication / media,tikshoret,תקשורת
was accepted (m.s.),hitkabel,התקבל
inverts / converts / turns / becomes / transforms (m.s.),hofekh,הופך
examination of / test of,bdikat,בדיקת
ideas,ra'ayonot,רעיונות
out of them / from them,mitokham,מתוכם
limited / restricted (m.s.),mugbal,מוגבל
to the east,mizrakha,מזרחה
humid,lakh,לח
my song / my poem,shiri,שירי
equals (m.s.) / equal / identical,shave,שווה
equals (f.s.),shava,שווה
action of / operation of,pe'ulat,פעולת
elegant,hadur,הדור
the generation,hador,הדור
chalk / lime,gir,גיר
in a struggle / in a fight / in a conflict,bema'avak,במאבק
in the struggle / in the fight / in the conflict,bama'avak,במאבק
under conditions,betna'im,בתנאים
under the conditions,batna'im,בתנאים
in a context,beheksher,בהקשר
in the context,baheksher,בהקשר
failed (m.s.),nikhshal,נכשל
the parties (political),hamiflagot,המפלגות
that were used [for],sheshimshu,ששימשו
for the purpose of,letsorkhei,לצורכי
the well established / the well based / that is based [on] (m.s.),hamevusas,המבוסס
the voices / the sounds,hakolot,הקולות
legacy / inheritance,moreshet,מורשת
that was formed / that was created (m.s.),shenotsar,שנוצר
the Muslim (m.s.),hamuslemi,המוסלמי
the majority,harov,הרוב
wall / partition,dofen,דופן
appeared / performed (f.s.),hofi'a,הופיעה
the songs / the poems,hashirim,השירים
composition,herkev,הרכב
train,rakevet,רכבת
you rode,rakhavta,רכבת
solution,pitron,פתרון
include (m.pl.),kolelim,כוללים
the copies,hahe'etekim,ההעתקים
and the humid,vehalakh,והלח
deer,tsvi,צבי
statues / sculptures,psalim,פסלים
the classical (f.s.),haklasit,הקלאסית
visa / permit,ashra,אשרה
compounds / compositions,tirkovot,תרכובות
acids,khumtsot,חומצות
the mister / the master,ha'adon,האדון
to hear,lishmo'a,לשמוע
handsome / nice (m.s.),na'e,נאה
the wild / the son / the bar,habar,הבר
want (m.pl.),rotsim,רוצים
benefit / utility,to'elet,תועלת
happened / occurred / cold (f.s.) / frost,kara,קרה
the wall,hakir,הקיר
on us / about us,aleinu,עלינו
like these / like those / such,ka'elu,כאלו
we were,hayinu,היינו
the books,hasfarim,הספרים
in the hour of / at a time of / at the time of,bish'at,בשעת
to pay,leshalem,לשלם
week,shavu'a,שבוע
at the tip / at the end,bakatse,בקצה
at a tip / at an end,bekatse,בקצה
at the tip of / at the end of,biktse,בקצה
in a winter,bekhoref,בחורף
in the winter,bakhoref,בחורף
knew (pl.),yad'u,ידעו
to exist / to take place,lehitkayem,להתקיים
the yard,hakhatser,החצר
from,midei,מידי
local (m.s.),mekomi,מקומי
players / actors,sakhkanim,שחקנים
retired (m.s.) / rider (horse) / cavalier,parash,פרש
explained / interpreted (m.s.),peresh,פרש
the voice / the sound,hakol,הקול
the real (m.s.),ha'amiti,האמיתי
the conflict,hasikhsukh,הסכסוך
in a newspaper,be'iton,בעיתון
in the newspaper,ba'iton,בעיתון
and to / and a god,ve'el,ואל
and don't,ve'al,ואל
and later,uvehemshekh,ובהמשך
and later,uvahemshekh,ובהמשך
the process,hatahalikh,התהליך
the details / the individuals,hapartim,הפרטים
the fingers,ha'etsba'ot,האצבעות
discussed / judged (m.s.),dan,דן
on a journey,bemasa,במסע
on the journey,bamasa,במסע
[in] a line,bekav,בקו
[in] the line,bakav,בקו
goals / targets,matarot,מטרות
cliff,matsok,מצוק
advantage,yitaron,יתרון
and in them (f.),uvahen,ובהן
left,smol,שמאל
that was used [for] (m.s.),sheshimesh,ששימש
personal (m.) / private (m.) / my man / my husband,ishi,אישי
[in] singing / in poetry,beshira,בשירה
in the singing / in the poetry,bashira,בשירה
in his life,bekhayav,בחייו
led by,behanhagat,בהנהגת
hunt,tsayid,ציד
the ship,ha'oniya,האונייה
authority,samkhut,סמכות
that included (f.s.),shekalela,שכללה
channel of / canal of / trench of,te'alat,תעלת
armor,shiryon,שריון
military (m.pl.),tsva'iyim,צבאיים
resisted / objected (pl.),hitnagdu,התנגדו
the background,hareka,הרקע
the people / the nations (pl.),ha'amim,העמים
the ocean,ha'okyanus,האוקיינוס
in the air,ba'avir,באוויר
in air,be'avir,באוויר
and part,vekhelek,וחלק
and smooth / and slippery (m.s.),vekhalak,וחלק
front / frontier,khazit,חזית
the opinions,hade'ot,הדעות
the international (f.s.),habeynle'umit,הבינלאומית
the religious (m.s.),hadati,הדתי
programs / plans,tokhniyot,תוכניות
in a program / in a plan,betokhnit,בתוכנית
